CAMPANA,N° ASESORAS_ZONA_101,N° ASESORAS_ZONA_102,N° ASESORAS_ZONA_103,N° ASESORAS_ZONA_104,N° ASESORAS_ZONA_107,N° ASESORAS_ZONA_109,N° ASESORAS_ZONA_110,N° ASESORAS_ZONA_111,N° ASESORAS_ZONA_112,N° ASESORAS_ZONA_115,N° ASESORAS_ZONA_116,N° ASESORAS_ZONA_119,N° ASESORAS
201901,903,679,554,289,542,483,421,521,514,431,675,419,24133
201902,802,654,512,277,511,449,455,434,457,376,556,389,22840
201903,896,700,525,281,565,467,399,491,498,437,587,402,23832
201904,821,670,537,284,573,452,398,429,459,412,595,385,23243
201905,801,637,523,271,424,442,306,454,419,420,603,369,22874
201906,894,756,594,314,584,529,428,491,420,434,681,464,25306
201907,986,846,650,368,568,551,462,504,464,441,727,477,26654
201908,943,850,627,367,601,562,450,537,463,463,730,497,26461
201909,971,852,631,351,594,596,489,538,476,475,726,429,26250
201910,957,826,662,369,523,564,492,537,460,460,706,323,26072
201911,877,819,573,323,565,560,510,503,433,412,665,355,25312
201912,804,779,529,318,502,463,457,492,417,437,710,347,25126
201913,828,788,561,318,431,468,476,500,452,389,656,326,24327
201914,866,810,576,337,504,502,492,557,465,412,672,395,25524
201915,1050,1041,658,383,565,573,548,605,523,452,768,404,29500
201916,1042,1027,657,411,560,573,507,559,544,473,749,452,29651
201917,1090,1059,701,408,600,611,538,547,565,471,773,692,30888
201918,1063,1033,712,411,589,571,510,595,518,469,812,662,30739
